sentence,entities,character
"PROLOGUE
“We should start back,”, Gared urged as the woods began to grow
dark around them.
“The wildlings are dead.”,
“Do the dead frighten you?”, Ser Waymar Royce asked with just
the hint of a smile.
","['Gared', 'Ser Waymar Royce']","['gared', 'waymar']"
"Gared did not rise to the bait.He was an old man, past �fty, and
he had seen the lordlings come and go.“Dead is dead,”, he said.“We
have no business with the dead.”,
“Are they dead?”, Royce asked softly.",['Royce'],['royce']
"“What proof have we?”,
“Will saw them,”, Gared said.“If he says they are dead, that’s
proof enough for me.”,
Will had known they would drag him into the quarrel sooner or
later.",['Gared'],['gared']
"He wished it had been later rather than sooner.“My mother
told me that dead men sing no songs,”, he put in.
“My wet nurse said the same thing, Will,”, Royce replied.",['Royce'],['royce']
"“We have a long ride before us,”, Gared pointed out.“Eight days,
maybe nine.And night is falling.”,
Ser Waymar Royce glanced at the sky with disinterest.",['Gared'],['gared']
"“It does
that every day about this time.Are you unmanned by the dark,
Gared?”,
Will could see the tightness around Gared’s mouth, the barely
suppressed anger in his eyes under the thick black hood of his cloak.
",['Gared'],['gared']
"Mounted on his huge black
destrier, the knight towered above Will and Gared on their smaller
garrons.Ser Waymar had been
a Sworn Brother of the Night’s Watch for less than half a year, but
no one could say he had not prepared for his vocation.","['Waymar', 'Sworn', 'the Night’s Watch']",['waymar']
"“Bet he killed them all himself, he did,”, Gared told the
barracks over wine, “twisted their little heads o�, our mighty
warrior.”, They had all shared the laugh.
",['Gared'],['gared']
"Gared must have
felt the same.
“Mormont said as we should track them, and we did,”, Gared said.
“They’re dead.They shan’t trouble us no more.There’s hard riding
before us.",['Gared'],['gared']
"No one could move through the woods as silent as Will, and it
had not taken the black brothers long to discover his talent.
“The camp is two miles farther on, over that ridge, hard beside a
stream,”, Will said.",['Will'],['will']
"“Did you make note of the position of the bodies?”,
Will shrugged.“A couple are sitting up against the rock.Most of
them on the ground.Fallen, like.”,
“Or sleeping,”, Royce suggested.
",['Royce'],['royce']
"“You have a chill?”, Royce asked.
“Some,”, Will muttered.“The wind, m’lord.”,
The young knight turned back to his grizzled man-at-arms.Frost-
fallen leaves whispered past them, and Royce’s destrier moved
restlessly.","['Royce', 'Will', 'Royce’s']","['royce', 'will', 'royce']"
"“What do you think might have killed these men,
Gared?”, Ser Waymar asked casually.He adjusted the drape of his
long sable cloak.
“It was the cold,”, Gared said with iron certainty.","['Gared', 'Ser Waymar', 'Gared']","['gared', 'waymar', 'gared']"
"“I never
suspected you had it in you.”,
“I’ve had the cold in me too, lordling.”, Gared pulled back his
hood, giving Ser Waymar a good long look at the stumps where his
ears had been.","['Gared', 'Ser Waymar']","['gared', 'waymar']"
"Peaceful, like.”,
“Such eloquence, Gared,”, Ser Waymar observed.“Two ears, three toes, and the little �nger o� my left
hand.I got o� light.We found my brother frozen at his watch, with
a smile on his face.”","['Gared', 'Ser Waymar']","['gared', 'waymar']"
",
Ser Waymar shrugged.“You ought dress more warmly, Gared.”,
Gared glared at the lordling, the scars around his ear holes
�ushed red with anger where Maester Aemon had cut the ears
away.","['Ser Waymar', 'Gared', 'Gared', 'Maester Aemon']","['waymar', 'gared', 'gared']"
"“We’ll see how warm you can dress when the winter comes.”,
He pulled up his hood and hunched over his garron, silent and
sullen.
“If Gared said it was the cold …”, Will began.
","['Gared', 'Will']","['gared', 'will']"
"“Have you drawn any watches this past week, Will?”,
“Yes, m’lord.”, There never was a week when he did not draw a
dozen bloody watches.What was the man driving at?
",['Will'],['will']
"“And how did you �nd the Wall?”,
“Weeping,”, Will said, frowning.He saw it clear enough, now that
the lordling had pointed it out.“They couldn’t have froze.",['Will'],['will']
"Not if the
Wall was weeping.It wasn’t cold enough.”,
Royce nodded.“Bright lad.We’ve had a few light frosts this past
week, and a quick �urry of snow now and then, but surely no cold
�erce enough to kill eight grown men.","['Royce', 'We’ve']",['royce']
"The stars began to come
out.A half-moon rose.Will was grateful for the light.
“We can make a better pace than this, surely,”, Royce said when
the moon was full risen.
",['Royce'],['royce']
"“Not with this horse,”, Will said.Fear had made him insolent.
“Perhaps my lord would care to take the lead?”,
Ser Waymar Royce did not deign to reply.
",['Will'],['will']
"Somewhereo� in the wood a wolf howled.
Will pulled his garron over beneath an ancient gnarled ironwood
and dismounted.
“Why are you stopping?”, Ser Waymar asked.
",['Ser Waymar'],['waymar']
"“Best go the rest of the way on foot, m’lord.It’s just over that
ridge.”,
Royce paused a moment, staring o� into the distance, his face
re�ective.A cold wind whispered through the trees.","['m’lord', 'Royce']","['mord', 'royce']"
"His great sable
cloak stirred behind like something half-alive.
“There’s something wrong here,”, Gared muttered.
The young knight gave him a disdainful smile.",['Gared'],['gared']
"“Is there?”,
“Can’t you feel it?”, Gared asked.“Listen to the darkness.”,
Will could feel it.Four years in the Night’s Watch, and he had
never been so afraid.",['Gared'],['gared']
"What was it?
“Wind.Trees rustling.A wolf.Which sound is it that unmans you
so, Gared?”, When Gared did not answer, Royce slid gracefully from
his saddle.","['Gared', 'Gared', 'Royce']","['gared', 'gared', 'royce']"
"It was a splendid weapon, castle-forged, and new-
made from the look of it.Will doubted it had ever been swung in
anger.
“The trees press close here,”, Will warned.",['Will'],['will']
"“That sword will tangle
you up, m’lord.Better a knife.”,
“If I need instruction, I will ask for it,”, the young lord said.
“Gared, stay here.Guard the horses.”,
Gared dismounted.","['Gared', 'Gared']","['gared', 'gared']"
