sentence,entities,character
"PROLOGUE
Dragons,”, said Mollander.He snatched a withered apple o� the
ground and tossed it hand to hand.
“Throw the apple,”, urged Alleras the Sphinx.","['Mollander', 'Sphinx']",['mollander']
"He slipped an arrow
from his quiver and nocked it to his bowstring.
“I should like to see a dragon.”, Roone was the youngest of them,
a chunky boy still two years shy of manhood.",['Roone'],['roone']
"“I should like that
very much.”,
And I should like to sleep with Rosey’s arms around me, Pate
thought.He shifted restlessly on the bench.By the morrow the girl
could well be his.","['Rosey', 'Pate']","['rosey', 'pate']"
"I will take her far from Oldtown, across the narrow
sea to one of the Free Cities.There were no maesters there, no one to
accuse him.
He could hear Emma’s laughter coming through a shuttered
window overhead, mingled with the deeper voice of the man she
was entertaining.","['Oldtown', 'the Free Cities', 'Emma']",['emma']
"She was the oldest of the serving wenches at the
Quill and Tankard, forty if she was a day, but still pretty in a �eshy
sort of way.Rosey was her daughter, �fteen and freshly �owered.
","['Tankard', 'Rosey']",['rosey']
"Emma had decreed that Rosey’s maidenhead would cost a golden
dragon.Pate had saved nine silver stags and a pot of copper stars
and pennies, for all the good that would do him.","['Emma', 'Rosey']","['emma', 'rosey']"
"He would have
stood a better chance of hatching a real dragon than saving up
enough coin to make a golden one.
“You were born too late for dragons, lad,”, Armen the Acolyte told
Roone.",['Armen the Acolyte'],['armen']
"“The last one perished during the reign
of King Aegon the Third.”,
“The last dragon in Westeros,”, insisted Mollander.
“Throw the apple,”, Alleras urged again.","['King Aegon', 'Third', 'Westeros', 'Mollander']","['aegon', 'mollander']"
"He was a comely youth,
their Sphinx.All the serving wenches doted on him.Even Rosey
would sometimes touch him on the arm when she brought him
wine, and Pate had to gnash his teeth and pretend not to see.
","['Sphinx', 'Rosey', 'Pate']","['rosey', 'pate']"
"“Unless you mean to eat it.”,
“Here.”, Dragging his clubfoot, Mollander took a short hop,
whirled, and whipped the apple sidearm into the mists that hung
above the Honeywine.","['Mollander', 'Honeywine']",['mollander']
"“The last dragon in Westeros was the last dragon,”, said Armen
doggedly.“That is well known.”,
“The apple,”, Alleras said.If not for his foot, he would have been a
knight like his father.","['Westeros', 'Alleras']",['alleras']
"Pate did not see
the arrow catch the apple, but he heard it.A soft chunk echoed back
across the river, followed by a splash.
Mollander whistled.“You cored it.",['Mollander'],['mollander']
"Sweet.”,
Not half as sweet as Rosey.Pate loved her hazel eyes and budding
breasts, and the way she smiled every time she saw him.He loved
the dimples in her cheeks.",['Rosey'],['rosey']
"He could buy a donkey with the coin he’d saved, and he and
Rosey could take turns riding it as they wandered Westeros.Ebrose
might not think him worthy of the silver, but Pate knew how to set
","['Rosey', 'Westeros', 'Pate']","['rosey', 'pate']"
"a bone and leech a fever.The smallfolk would be grateful for his
help.If he could learn to cut hair and shave beards, he might even
be a barber.That would be enough, he told himself, so long as I had
Rosey.",['Rosey'],['rosey']
"Rosey was all that he wanted in the world.
That had not always been so.How high he’d ride, how nobly, smiling
down at the smallfolk when he passed them on the road … 
",['Rosey'],['rosey']
"One night in the Quill and Tankard’s common room, after his
second tankard of fearsomely strong cider, Pate had boasted that he
would not always be a novice.","['Tankard’s', 'second', 'Pate']",['pate']
"Everyone said that
Walgrave had forgotten more of ravencraft than most maesters ever
knew, so Pate assumed a black iron link was the least that he could
hope for, only to �nd that Walgrave could not grant him one.","['Walgrave', 'Pate', 'Walgrave']","['walgrave', 'pate', 'walgrave']"
"Maester Gormon sat below the iron mask in Walgrave’s
place, the same Gormon who had once accused Pate of theft.
In the apple tree beside the water, a nightingale began to sing.","['Maester Gormon', 'Walgrave’s', 'Gormon']","['walgrave', 'gormon']"
"Perhaps it was the fearsomely strong cider—he had not come
here to drink, but Alleras had been buying to celebrate his copper
link, and guilt had made him thirsty—but it almost sounded as if the
nightingale were trilling gold for iron, gold for iron, gold for iron.
",['Alleras'],['alleras']
"The big white birds were Archmaester
Walgrave’s pride.He wanted them to eat him when he died, but
Pate half suspected that they meant to eat him too.
Which was passing strange, because that was what the stranger had
said the night Rosey brought the two of them together.","['Archmaester\nWalgrave’s', 'Pate half', 'Rosey']","['pate', 'rosey']"
"“Who are
you?”, Pate had demanded of him, and the man had replied, “An
alchemist.I can change iron into gold.”,And then the coin was in his
hand, dancing across his knuckles, the soft yellow gold shining in
the candlelight.",['Pate'],['pate']
"On one side was a three-headed dragon, on the
other the head of some dead king.Gold for iron, Pate remembered,
you won’t do better.Do you want her?Do you love her?",['Pate'],['pate']
"Pate had returned to the Quill and
Tankard, still uncertain what he was, but instead of the alchemist
he’d found Mollander and Armen and the Sphinx, with Roone in
tow.","['Mollander', 'Armen', 'Sphinx']","['mollander', 'armen']"
"Though the tall, timbered building
leaned toward the south the way novices sometimes leaned after a
tankard, Pate expected that the inn would go on standing for
another six hundred years, selling wine and ale and fearsomely
strong cider to rivermen and seamen, smiths and singers, priests and
princes, and the novices and acolytes of the Citadel.
","['Pate', 'Citadel']",['pate']
"“Oldtown is not the world,”, declared Mollander, too loudly.He
was a knight’s son, and drunk as drunk could be.Since they brought
him word of his father’s death upon the Blackwater, he got drunk
most every night.",['Mollander'],['mollander']
"Even in Oldtown, far from the �ghting and safe
behind its walls, the War of the Five Kings had touched them
all … although Archmaester Benedict insisted that there had never
been a war of �ve kings, since Renly Baratheon had been slain
before Balon Greyjoy had crowned himself.
","['Oldtown', 'the War of the Five Kings', 'Archmaester Benedict', 'Renly Baratheon', 'Balon Greyjoy']","['renly', 'balon']"
"“My father always said the world was bigger than any lord’s
castle,”, Mollander went on.“Dragons must be the least of the things
a man might �nd in Qarth and Asshai and Yi Ti.","['Mollander', 'Qarth', 'Asshai', 'Yi Ti']",['mollander']
"Go back down to the docks, and I wager you’ll �nd
sailors who’ll tell you of the mermaids that they bedded, or how
they spent a year in the belly of a �sh.”,
“How do you know they didn’t?”, Mollander thumped through the
grass, looking for more apples.",['Mollander'],['mollander']
"These sailors’
stories …”,
“…  are stories told by sailors,”, Armen interrupted.“Sailors, my
dear Mollander.“You’d need to be down the belly
yourself to swear they weren’t.","['Armen', 'Mollander']","['armen', 'mollander']"
"One sailor with a story, aye, a man
might laugh at that, but when oarsmen o� four di�erent ships tell
the same tale in four di�erent tongues …”,
“The tales are not the same,”, insisted Armen.",['Armen'],['armen']
