sentence,entities,character
"And yet … old as he was,
Cressen had never seen a comet half so bright, nor yet that color,
that terrible color, the color of blood and �ame and sunsets.",['Cressen'],['cressen']
"Omens, all.Too many to deny.What does it
all mean?he wanted to cry.
“Maester Cressen, we have visitors.”, Pylos spoke softly, as if
loath to disturb Cressen’s solemn meditations.","['Maester Cressen', 'Pylos', 'Cressen']","['pylos', 'cressen']"
"Had he known what
drivel �lled his head, he would have shouted.“The princess would
see the white raven.”, Ever correct, Pylos called her princess now, as
her lord father was a king.",['Pylos'],['pylos']
"“Help me to my chair and show them in.”,
Taking his arm, Pylos led him inside.In his youth, Cressen had
walked briskly, but he was not far from his eightieth name day
now, and his legs were frail and unsteady.","['Pylos', 'Cressen', 'eightieth']","['pylos', 'cressen']"
"Last
year when he took ill, the Citadel had sent Pylos out from Oldtown,
mere days before Lord Stannis had closed the isle … to help him in
his labors, it was said, but Cressen knew the truth.","['Citadel', 'Pylos', 'Oldtown', 'Cressen']","['pylos', 'cressen']"
"Two years past, he had
fallen and shattered a hip, and it had never mended properly.Pylos had come
to replace him when he died.He did not mind.Someone must take
his place, and sooner than he would like …
He let the younger man settle him behind his books and papers.
",['Pylos'],['pylos']
"And
how they trembled, these hands of his that had once been so sure
and deft …
When Pylos returned the girl came with him, shy as ever.Behind
her, shu�ing and hopping in that queer sideways walk of his, came
her fool.",['Pylos'],['pylos']
"“Who comes to see us so early, Pylos?”, Cressen said.
“It’s me and Patches, Maester.”, Guileless blue eyes blinked at
him.Hers was not a pretty face, alas.","['Pylos', 'Cressen', 'Patches', 'Maester.']","['pylos', 'cressen']"
"Across half one cheek and well
down her neck, her �esh was sti� and dead, the skin cracked and
�aking, mottled black and grey and stony to the touch.“Pylos said
we might see the white raven.”,
“Indeed you may,”, Cressen answered.",['Cressen'],['cressen']
"As if he would ever deny
her.She had been denied too often in her time.Her name was
Shireen.She would be ten on her next name day, and she was the
saddest child that Maester Cressen had ever known.","['Shireen', 'Maester Cressen']",['shireen']
"“Maester
Pylos, do me a kindness and bring the bird down from the rookery
for the Lady Shireen.”,
“It would be my pleasure.”, Pylos was a polite youth, no more
than �ve-and-twenty, yet solemn as a man of sixty.","['the Lady Shireen', 'Pylos']",['pylos']
"Her sadness is
my shame, the old man thought, another mark of my failure.If only he had
more humor, more life in him; that was what was needed here.A maester must go where he is sent, so Cressen had come here
with his lord some twelve years past, and he had served, and served
well.",['Cressen'],['cressen']
"The fool turned his patched and piebald head to watch Pylos
climb the steep iron steps to the rookery.His bells rang with the
motion.“Under the sea, the birds have scales for feathers,”, he said,
clang-a-langing.",['Pylos'],['pylos']
