sentence,entities,character
"Leagues away, in a one-room hut of mud and straw with a
thatched roof and a smoke hole and a �oor of hard-packed earth,
Varamyr shivered and coughed and licked his lips.",['Varamyr'],['varamyr']
"Human
meat.Had he sunk so low as to hunger after human meat?He could
almost hear Haggon growling at him.“Men may eat the �esh of
beasts and beasts the �esh of men, but the man who eats the �esh of
man is an abomination.”,
Abomination.",['Haggon'],['haggon']
"That had always been Haggon’s favorite word.
Abomination, abomination, abomination.Haggon was weak, afraid of his own power.He died weeping and alone
when I ripped his second life from him.","['Haggon’s', 'Haggon', 'second']","['haggon', 'haggon']"
"Varamyr had devoured his
heart himself.He taught me much and more, and the last thing I
learned from him was the taste of human �esh.
That was as a wolf, though.",['Varamyr'],['varamyr']
"Thistle had warned him that might happen.“I sewed it up the
best I could,”, she’d said, “but you need to rest and let it mend, or
the �esh will tear open again.”",['Thistle'],['thistle']
",
Thistle had been the last of his companions, a spearwife tough as
an old root, warty, windburnt, and wrinkled.The others had
deserted them along the way.",['Thistle'],['thistle']
"One by one they fell behind or forged
ahead, making for their old villages, or the Milkwater, or
Hardhome, or a lonely death in the woods.Varamyr did not know,
and could not care.","['Milkwater', 'Hardhome', 'Varamyr']",['varamyr']
"One of the
others might have realized what was happening.Then they would
have turned on him and killed him.And Haggon’s words had
haunted him, and so the chance had passed.
",['Haggon’s'],['haggon']
"Some died of
hunger, some of cold, some of sickness.Others were slain by those
who had been their brothers-in-arms when they marched south with
Mance Rayder, the King-Beyond-the-Wall.
",['Mance Rayder'],['mance']
"Mance is fallen, the survivors told each other in despairing voices,
Mance is taken, Mance is dead.“Harma’s dead and Mance is
captured, the rest run o� and left us,”, Thistle had claimed, as she
was sewing up his wound.","['Mance', 'Mance', 'Mance', 'Thistle']","['mance', 'mance', 'mance', 'thistle']"
"“Tormund, the Weeper, Sixskins, all them
brave raiders.Where are they now?”,
She does not know me, Varamyr realized then, and why should she?
Without his beasts he did not look like a great man.","['Weeper', 'Varamyr']","['weeper', 'varamyr']"
"I was Varamyr
Sixskins, who broke bread with Mance Rayder.He had named himself
Varamyr when he was ten.A name �t for a lord, a name for songs, a
mighty name, and fearsome.","['Varamyr\nSixskins', 'Mance Rayder', 'Varamyr']","['mance', 'varamyr']"
"Yet he had run from the crows like a
frightened rabbit.The terrible Lord Varamyr had gone craven, but
he could not bear that she should know that, so he told the
spearwife that his name was Haggon.","['Varamyr', 'Haggon']","['varamyr', 'haggon']"
"One day, as they �ed, a rider came galloping through the woods
on a gaunt white horse, shouting that they all should make for the
Milkwater, that the Weeper was gathering warriors to cross the
Bridge of Skulls and take the Shadow Tower.","['Milkwater', 'Weeper']",['weeper']
