sentence,entities,character
"I
should be safe back at the Wall, tending the bloody ravens and making
�res for old Maester Aemon.It was the bastard Jon Snow who had
taken that from him, him and his fat friend Sam Tarly.","['Maester Aemon', 'Jon Snow', 'Sam Tarly']","['jon', 'sam']"
"“Bugger this bear, he’s not worth
freezing over.”,
“We can’t go back emptyhand, Lark,”, rumbled Small Paul through
the brown whiskers that covered most of his face.","['Lark', 'Small Paul']","['lark', 'small']"
"“Mormont will be dead before
daybreak, remember?Who cares what he likes?”,
Small Paul blinked his black little eyes.Maybe he had forgotten,
Chett thought; he was stupid enough to forget most anything.","['Small Paul', 'Chett']","['small', 'chett']"
"“Why
do we have to kill the Old Bear?Why don’t we just go o� and let
him be?”,
“You think he’ll let us be?”, said Lark.“He’ll hunt us down.You
want to be hunted, you great muttonhead?”,
“No,”, said Small Paul.","['Lark', 'Small Paul']","['lark', 'small']"
",
The Sisterman took his hands from his armpits and turned to
Chett.“We need to kill all the o�cers, I say.”,
Chett was sick of hearing it.“We been over this.",['Chett'],['chett']
"The Old Bear
dies, and Blane from the Shadow Tower.Grubbs and Aethan as well,
their ill luck for drawing the watch, Dywen and Bannen for their
tracking, and Ser Piggy for the ravens.","['Blane', 'the Shadow Tower', 'Aethan', 'Dywen', 'Bannen']","['blane', 'aethan', 'dywen', 'bannen']"
"I remember, Chett.”,
The moon would be black tonight, and they had jiggered the
watches so as to have eight of their own standing sentry, with two
more guarding the horses.",['Chett'],['chett']
"It was the biggest ranging in living memory, near a
third of the Watch’s strength.They meant to �nd Ben Stark, Ser
Waymar Royce, and the other rangers who’d gone missing, and
discover why the wildlings were leaving their villages.","['Watch’s', 'Ben Stark']",['ben']
"Well, they
were no closer to Stark and Royce than whenthey’d left the Wall,
but they’d learned where all the wildlings had gone—up into the icy
heights of the godsforsaken Frostfangs.","['Stark', 'Royce', 'Frostfangs']",['royce']
"The river’s stony banks
were bearded by ice, its pale milky waters �owing endlessly down
out of the Frostfangs.And now Mance Rayder and his wildlings
were �owing down the same way.","['Frostfangs', 'Mance Rayder']",['mance']
"Thoren Smallwood had returned
in a lather three days past.While he was telling the Old Bear what
his scouts had seen, his man Kedge Whiteye told the rest of them.
","['Thoren Smallwood', 'the Old Bear', 'Kedge Whiteye']","['thoren', 'kedge']"
"“They’re still well up the foothills, but they’re coming,”, Kedge said,
warming his hands over the �re.“Harma the Dogshead has the van,
the poxy bitch.","['Kedge', 'Dogshead']",['kedge']
"It was a rare
thing to �nd even a dozen mounted wildlings, and �ve hundred … 
“Smallwood sent Bannen and me wide around the van to catch a
peek at the main body,”, Kedge went on.","['Bannen', 'Kedge']","['bannen', 'kedge']"
"The women as well.”,
“And they follow the Milkwater?”, Lark the Sisterman asked.
“I said so, didn’t I?”,
The Milkwater would take them past the Fist of the First Men, the
ancient ringfort where the Night’s Watch had made its camp.","['Milkwater', 'Lark the Sisterman', 'Milkwater', 'the Fist of the First Men', 'the Night’s Watch']",['lark']
"If they stayed here, they would be engulfed and
overwhelmed.
And Thoren Smallwood wanted to attack.Sweet Donnel Hill was
squire to Ser Mallador Locke, and the night before last Smallwood
had come to Locke’s tent.","['Thoren Smallwood', 'Sweet Donnel Hill', 'Ser Mallador Locke']","['thoren', 'sweet', 'mallador']"
"Ser Mallador had been of the same mind
as old Ser Ottyn Wythers, urging a retreat on the Wall, but
Smallwood wanted to convince him otherwise.“This King-beyond-
the-Wall will never look for us so far north,”, Sweet Donnel reported
him saying.","['Ser Ottyn Wythers', 'Smallwood', 'King-beyond-', 'Sweet Donnel']","['ottyn', 'sweet']"
"Chett called that rank
madness, and what was madder still was that Ser Mallador had been
persuaded, and the two of them together were on the point of
persuading the Old Bear.","['Chett', 'Ser Mallador']","['chett', 'mallador']"
"You do not throw away your
shield for no good purpose,”, but to that Thoren Smallwood said, “In
a sword�ght, a man’s surest defense is the swift stroke that slays his
foe, not cringing behind a shield.”,
Neither Smallwood nor Wythers had the command, though.","['Thoren Smallwood', 'Wythers']",['thoren']
"Lord
Mormont did, and Mormont was waiting for his other scouts, for
Jarman Buckwell and the men who’d climbed the Giant’s Stair, and
for Qhorin Halfhand and Jon Snow, who’d gone to probe","['Mormont', 'Jarman Buckwell', 'Qhorin Halfhand', 'Jon Snow']","['mormont', 'jarman', 'qhorin', 'jon']"
"Against that, Ser Ottyn Wythers said, “We are the
shield that guards the realms of men.the
Skirling Pass.Buckwell and the Halfhand were late in returning,
though.","['Ser Ottyn Wythers', 'Halfhand']",['ottyn']
"Dead, most like.Chett pictured Jon Snow lying blue and
frozen on some bleak mountaintop with a wildling spear up his
bastard’s arse.The thought made him smile.","['Chett', 'Jon Snow']","['chett', 'jon']"
"Maybe they thought they were
going to get fed.Chett had to laugh.He hadn’t fed them for three
days now, to turn them mean and hungry.Tonight, before slipping
o� into the dark, he’d turn them loose among the horse lines, after
Sweet Donnel Hill and Clubfoot Karl cut the tethers.","['fed', 'Chett', 'Sweet Donnel Hill', 'Clubfoot Karl']","['chett', 'sweet', 'clubfoot']"
"you’d be short a head.No,
fourteen was a good number, enough to do what needed doing but
not so many that they couldn’t keep the secret.Chett had recruited
most of them himself.",['Chett'],['chett']
"They had Dirk as well, named
for his favorite weapon, and the little grey man the brothers called
Softfoot, who’d raped a hundred women in his youth, and liked to
boast how none had ever seen nor heard him until he shoved it up
inside them.
","['Dirk', 'Softfoot']","['dirk', 'softfoot']"
"Small Paul was one of his; the strongest man
on the Wall, even if he was slower than a dead snail.He’d once
broken a wildling’s back with a hug.The plan was Chett’s.","['Small Paul', 'Chett’s']","['small', 'chett']"
"When he killed Sam Tarly tonight, he planned to whisper,
“Give my love to Lord Snow,”, right in his ear before he sliced Ser
Piggy’s throat open to let the blood come bubbling out through all
those layers of suet.","['Sam Tarly', 'Snow', 'Ser\nPiggy’s']",['sam']
"Softfoot and Small Paul would kill the Old Bear,
Dirk would do Blane, and Lark and his cousins would silence Bannen
and old Dywen, to keep them from sni�ng after their trail.","['Small Paul', 'Dirk', 'Blane', 'Lark', 'Bannen', 'Dywen']","['small', 'dirk', 'blane', 'lark', 'bannen', 'dywen']"
